datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name,square_diagonal,query_count,query_long,query_lat,dist_from_center,p_name
0.9995,304.8,METERS,GHCND_USW00013969,36.73667,-97.10194,2018-10-16,1948-01-01,"PONCA CITY MUNICIPAL AIRPORT, OK US",2.139864107581439,14,-97.30629717500003,36.57236455833334,0.26221772086429707,Thunder Ranch
0.9872,299.9,METERS,GHCND_USW00003965,36.1624,-97.0894,2018-10-16,1996-11-01,"STILLWATER REGIONAL AIRPORT, OK US",2.139864107581439,14,-97.30629717500003,36.57236455833334,0.46380526475283307,Thunder Ranch
0.9675,272.8,METERS,GHCND_USC00348501,36.1175,-97.095,2018-10-17,1893-01-01,"STILLWATER 2 W, OK US",2.139864107581439,14,-97.30629717500003,36.57236455833334,0.5015458728678539,Thunder Ranch
0.8607,1309.4,METERS,GHCND_USW00024030,41.0993,-102.9863,2018-10-16,1948-01-01,"SIDNEY MUNICIPAL AIRPORT, NE US",1.7832200896511994,13,-103.32222771535578,40.961955280898856,0.36292010389220086,Peetz Table
0.9565,1316.7,METERS,GHCND_USC00257830,41.2294,-103.0214,2018-09-30,1908-12-01,"SIDNEY 6 NNW, NE US",1.7832200896511994,13,-103.32222771535578,40.961955280898856,0.40252203927395963,Peetz Table
0.9988,1130.5,METERS,GHCND_USC00051996,40.86,-102.803,2018-10-17,1996-03-01,"CROOK, CO US",1.7832200896511994,13,-103.32222771535578,40.961955280898856,0.5291429860602427,Peetz Table
0.9804,545.6,METERS,GHCND_USW00013962,32.4105,-99.6822,2018-10-16,1946-08-01,"ABILENE REGIONAL AIRPORT, TX US",2.567836929097727,15,-100.17396452189782,32.253114850364945,0.5163355791760246,Horse Hollow
0.9411,594.1,METERS,GHCND_USC00414278,31.84555,-99.56068,2018-10-17,1953-07-01,"HORDS CREEK DAM, TX US",2.567836929097727,15,-100.17396452189782,32.253114850364945,0.7363606535200169,Horse Hollow
0.8222,598.6,METERS,GHCND_USC00416499,31.45389,-100.49333,2008-01-31,1975-12-01,"O C FISHER DAM, TX US",2.567836929097727,15,-100.17396452189782,32.253114850364945,0.8606710579799367,Horse Hollow
0.8793,786.4,METERS,GHCND_USW00024012,46.7994,-102.7972,2018-10-16,1938-11-14,"DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US",3.0814043149172723,16,-102.75638931460675,46.65634826966293,0.14875923364516608,Brady Wind I
0.9498,749.8,METERS,GHCND_USC00322188,46.89138,-102.81055,2016-02-19,1893-01-01,"DICKINSON EXPERIMENTAL STATION, ND US",3.0814043149172723,16,-102.75638931460675,46.65634826966293,0.24119140554237115,Brady Wind I
0.995,824.5,METERS,GHCND_USW00094038,46.01389,-102.65472,2018-10-16,1996-07-01,"HETTINGER MUNICIPAL AIRPORT, ND US",3.0814043149172723,16,-102.75638931460675,46.65634826966293,0.6504531326628273,Brady Wind I
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,2018-10-17,1896-10-01,"ANTHONY, KS US",2.567836929097727,15,-98.25266602681995,37.371157398467425,0.31162319892546625,Flat Ridge 2
0.9843,467.9,METERS,GHCND_USW00003957,37.2839,-98.5528,2018-10-16,1998-02-05,"MEDICINE LODGE 1 E, KS US",2.567836929097727,15,-98.25266602681995,37.371157398467425,0.3125608027954674,Flat Ridge 2
0.9526,365.8,METERS,GHCND_USC00343740,36.7425,-98.133,2018-09-10,1946-03-12,"GREAT SALT PLAINS DAM, OK US",2.567836929097727,15,-98.25266602681995,37.371157398467425,0.6399453747177998,Flat Ridge 2
0.9084,502.9,METERS,GHCND_USC00253075,41.3594,-97.9761,2013-11-30,1901-03-01,"FULLERTON, NE US",2.567836929097727,15,-98.11013231355938,41.93217061016949,0.588243855005737,Prairie Breeze
0.9788,515.1,METERS,GHCND_USC00256396,42.3691,-97.5983,2013-07-31,2008-09-01,"OSMOND NUMBER 1, NE US",2.567836929097727,15,-98.11013231355938,41.93217061016949,0.6729633042753599,Prairie Breeze
1.0,472.7,METERS,GHCND_USW00014941,41.9855,-97.4352,2018-10-16,1945-10-01,"NORFOLK KARL STEFAN MEMORIAL AIRPORT, NE US",2.567836929097727,15,-98.11013231355938,41.93217061016949,0.6770359308827806,Prairie Breeze
0.9936,930.9,METERS,GHCND_USW00003024,35.695,-101.395,2018-10-16,1997-06-01,"BORGER HUTCHINSON CO AIRPORT, TX US",3.6976851779007265,17,-101.29317291452995,35.430908786324785,0.2830422662355795,Panhandle Wind 1
0.9952,894.9,METERS,GHCND_USC00418040,35.7048,-101.5492,2018-10-17,1993-10-01,"SANFORD DAM, TX US",3.6976851779007265,17,-101.29317291452995,35.430908786324785,0.3749216790514663,Panhandle Wind 1
0.9492,1098.5,METERS,GHCND_USW00023047,35.2295,-101.7042,2018-10-16,1943-03-01,"AMARILLO AIRPORT, TX US",3.6976851779007265,17,-101.29317291452995,35.430908786324785,0.4577212734829229,Panhandle Wind 1
0.9902,330.7,METERS,GHCND_USC00341750,35.0488,-97.9158,2018-10-15,1953-06-01,"CHICKASHA EXPERIMENT STATION, OK US",2.567836929097727,15,-97.80480764166661,34.700150966666676,0.3658899452740795,Rush Springs Wind Energy Center
0.9914,325.8,METERS,GHCND_USW00003950,34.5584,-98.4172,2018-10-16,1996-10-01,"LAWTON MUNICIPAL AIRPORT, OK US",2.567836929097727,15,-97.80480764166661,34.700150966666676,0.6285839141244843,Rush Springs Wind Energy Center
