attributes,datatype,date,station,value
",,7,",WDMV,2017-01-01T00:00:00,GHCND:USC00417944,55.9
",,7,",WDMV,2017-01-02T00:00:00,GHCND:USC00417944,57.8
",,7,",WDMV,2017-01-03T00:00:00,GHCND:USC00417944,49.1
",,7,",WDMV,2017-01-04T00:00:00,GHCND:USC00417944,93.2
",,7,",WDMV,2017-01-05T00:00:00,GHCND:USC00417944,57.8
",,7,",WDMV,2017-01-06T00:00:00,GHCND:USC00417944,156.0
",,7,",WDMV,2017-01-07T00:00:00,GHCND:USC00417944,88.2
",,7,",WDMV,2017-01-08T00:00:00,GHCND:USC00417944,36.0
",,7,",WDMV,2017-01-09T00:00:00,GHCND:USC00417944,157.2
",,7,",WDMV,2017-01-10T00:00:00,GHCND:USC00417944,175.2
",,7,",WDMV,2017-01-11T00:00:00,GHCND:USC00417944,34.2
",,7,",WDMV,2017-01-12T00:00:00,GHCND:USC00417944,88.2
",,7,",WDMV,2017-01-13T00:00:00,GHCND:USC00417944,69.0
",,7,",WDMV,2017-01-14T00:00:00,GHCND:USC00417944,78.3
",,7,",WDMV,2017-01-15T00:00:00,GHCND:USC00417944,80.2
",,7,",WDMV,2017-01-16T00:00:00,GHCND:USC00417944,42.3
",,7,",WDMV,2017-01-17T00:00:00,GHCND:USC00417944,49.1
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00417944,70.8
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00417944,21.7
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00417944,106.3
",,7,",WDMV,2017-01-21T00:00:00,GHCND:USC00417944,49.1
",,7,",WDMV,2017-01-22T00:00:00,GHCND:USC00417944,157.2
",,7,",WDMV,2017-01-23T00:00:00,GHCND:USC00417944,100.0
",,7,",WDMV,2017-01-24T00:00:00,GHCND:USC00417944,101.3
",,7,",WDMV,2017-01-25T00:00:00,GHCND:USC00417944,78.3
",,7,",WDMV,2017-01-26T00:00:00,GHCND:USC00417944,57.2
",,7,",WDMV,2017-01-27T00:00:00,GHCND:USC00417944,44.1
",,7,",WDMV,2017-01-28T00:00:00,GHCND:USC00417944,47.2
",,7,",WDMV,2017-01-29T00:00:00,GHCND:USC00417944,49.7
",,7,",WDMV,2017-01-30T00:00:00,GHCND:USC00417944,42.9
",,7,",WDMV,2017-01-31T00:00:00,GHCND:USC00417944,31.7
",,7,",WDMV,2017-02-01T00:00:00,GHCND:USC00417944,60.3
