attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00013962,1356
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00013962,16
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00013962,2328
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00013962,1103
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00013962,441
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00013962,1622
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00013962,921
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00013962,1526
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00013962,1433
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00013962,1522
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00013962,1348
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00013962,1038
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00013962,1244
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00013962,1432
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00013962,1349
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00013962,1304
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00013962,15
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00013962,1411
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00013962,52
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00013962,2308
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00013962,941
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00013962,137
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00013962,2201
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00013962,643
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00013962,1219
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00013962,2335
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00013962,135
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00013962,1249
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00013962,1514
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00013962,1135
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00013962,1121
