attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00003957,1431
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00003957,4
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00003957,2339
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00003957,1420
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00003957,7
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00003957,2146
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00003957,59
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00003957,1239
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00003957,1450
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00003957,1338
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00003957,1810
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00003957,5
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00003957,1029
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00003957,1319
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00003957,1212
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00003957,1513
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00003957,111
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00003957,1254
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00003957,2123
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00003957,2358
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00003957,1608
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00003957,8
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00003957,2358
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00003957,225
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00003957,1128
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00003957,450
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00003957,1248
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00003957,1022
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00003957,2145
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00003957,105
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00003957,911
