attributes,datatype,date,station,value
",,7,",WDMV,2017-01-01T00:00:00,GHCND:USC00418040,111.8
",,7,",WDMV,2017-01-02T00:00:00,GHCND:USC00418040,216.9
",,7,",WDMV,2017-01-03T00:00:00,GHCND:USC00418040,197.0
",,7,",WDMV,2017-01-04T00:00:00,GHCND:USC00418040,113.1
",,7,",WDMV,2017-01-05T00:00:00,GHCND:USC00418040,192.0
",,7,",WDMV,2017-01-06T00:00:00,GHCND:USC00418040,152.9
",,7,",WDMV,2017-01-07T00:00:00,GHCND:USC00418040,90.1
",,7,",WDMV,2017-01-08T00:00:00,GHCND:USC00418040,110.0
",,7,",WDMV,2017-01-09T00:00:00,GHCND:USC00418040,90.1
",,7,",WDMV,2017-01-10T00:00:00,GHCND:USC00418040,298.9
",,7,",WDMV,2017-01-11T00:00:00,GHCND:USC00418040,185.2
",,7,",WDMV,2017-01-12T00:00:00,GHCND:USC00418040,234.9
",,7,",WDMV,2017-01-13T00:00:00,GHCND:USC00418040,154.7
",,7,",WDMV,2017-01-14T00:00:00,GHCND:USC00418040,69.0
",,7,",WDMV,2017-01-15T00:00:00,GHCND:USC00418040,24.9
",,7,",WDMV,2017-01-16T00:00:00,GHCND:USC00418040,1.2
",,7,",WDMV,2017-01-17T00:00:00,GHCND:USC00418040,159.1
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00418040,87.0
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00418040,172.1
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00418040,129.9
",,7,",WDMV,2017-01-21T00:00:00,GHCND:USC00418040,249.2
",,7,",WDMV,2017-01-22T00:00:00,GHCND:USC00418040,205.1
",,7,",WDMV,2017-01-23T00:00:00,GHCND:USC00418040,159.7
",,7,",WDMV,2017-01-24T00:00:00,GHCND:USC00418040,208.2
",,7,",WDMV,2017-01-25T00:00:00,GHCND:USC00418040,251.0
",,7,",WDMV,2017-01-26T00:00:00,GHCND:USC00418040,93.8
",,7,",WDMV,2017-01-27T00:00:00,GHCND:USC00418040,54.1
",,7,",WDMV,2017-01-28T00:00:00,GHCND:USC00418040,142.9
",,7,",WDMV,2017-01-29T00:00:00,GHCND:USC00418040,190.8
",,7,",WDMV,2017-01-30T00:00:00,GHCND:USC00418040,129.9
",,7,",WDMV,2017-01-31T00:00:00,GHCND:USC00418040,103.8
",,7,",WDMV,2017-02-01T00:00:00,GHCND:USC00418040,65.9
",,7,",WDMV,2017-02-02T00:00:00,GHCND:USC00418040,200.7
",,7,",WDMV,2017-02-03T00:00:00,GHCND:USC00418040,115.0
",,7,",WDMV,2017-02-04T00:00:00,GHCND:USC00418040,154.1
",,7,",WDMV,2017-02-05T00:00:00,GHCND:USC00418040,126.8
",,7,",WDMV,2017-02-06T00:00:00,GHCND:USC00418040,90.7
",,7,",WDMV,2017-02-07T00:00:00,GHCND:USC00418040,290.8
",,7,",WDMV,2017-02-08T00:00:00,GHCND:USC00418040,134.8
