attributes,datatype,date,station,value
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00014941,1531
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00014941,1036
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00014941,45
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00014941,1450
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00014941,1301
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00014941,1011
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00014941,958
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00014941,2326
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00014941,238
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00014941,1559
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00014941,1010
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00014941,1046
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00014941,1254
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00014941,27
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00014941,2208
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00014941,153
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00014941,1037
