attributes,datatype,date,station,value
",,7,",WDMV,2017-04-02T00:00:00,GHCND:USC00341750,75.2
",,7,",WDMV,2017-04-03T00:00:00,GHCND:USC00341750,55.3
",,7,",WDMV,2017-04-04T00:00:00,GHCND:USC00341750,46.0
",,7,",WDMV,2017-04-05T00:00:00,GHCND:USC00341750,151.0
",,7,",WDMV,2017-04-06T00:00:00,GHCND:USC00341750,100.0
",,7,",WDMV,2017-04-07T00:00:00,GHCND:USC00341750,29.8
",,7,",WDMV,2017-04-08T00:00:00,GHCND:USC00341750,121.2
",,7,",WDMV,2017-04-09T00:00:00,GHCND:USC00341750,236.1
",,7,",WDMV,2017-04-10T00:00:00,GHCND:USC00341750,190.1
",,7,",WDMV,2017-04-11T00:00:00,GHCND:USC00341750,116.2
",,7,",WDMV,2017-04-12T00:00:00,GHCND:USC00341750,37.3
",,7,",WDMV,2017-04-13T00:00:00,GHCND:USC00341750,93.8
",,7,",WDMV,2017-04-14T00:00:00,GHCND:USC00341750,78.9
",,7,",WDMV,2017-04-15T00:00:00,GHCND:USC00341750,174.0
",,7,",WDMV,2017-04-16T00:00:00,GHCND:USC00341750,170.9
",,7,",WDMV,2017-04-17T00:00:00,GHCND:USC00341750,70.8
",,7,",WDMV,2017-04-18T00:00:00,GHCND:USC00341750,54.1
",,7,",WDMV,2017-04-19T00:00:00,GHCND:USC00341750,100.0
",,7,",WDMV,2017-04-20T00:00:00,GHCND:USC00341750,165.3
",,7,",WDMV,2017-04-21T00:00:00,GHCND:USC00341750,83.3
",,7,",WDMV,2017-04-22T00:00:00,GHCND:USC00341750,156.0
",,7,",WDMV,2017-04-23T00:00:00,GHCND:USC00341750,116.2
",,7,",WDMV,2017-04-24T00:00:00,GHCND:USC00341750,37.9
",,7,",WDMV,2017-04-25T00:00:00,GHCND:USC00341750,185.2
",,7,",WDMV,2017-04-26T00:00:00,GHCND:USC00341750,159.7
",,7,",WDMV,2017-04-27T00:00:00,GHCND:USC00341750,87.0
",,7,",WDMV,2017-04-28T00:00:00,GHCND:USC00341750,116.8
",,7,",WDMV,2017-04-29T00:00:00,GHCND:USC00341750,90.1
",,7,",WDMV,2017-04-30T00:00:00,GHCND:USC00341750,108.7
",,7,",WDMV,2017-05-02T00:00:00,GHCND:USC00341750,41.0
",,7,",WDMV,2017-05-03T00:00:00,GHCND:USC00341750,83.9
",,7,",WDMV,2017-05-04T00:00:00,GHCND:USC00341750,134.2
",,7,",WDMV,2017-05-05T00:00:00,GHCND:USC00341750,87.0
",,7,",WDMV,2017-05-06T00:00:00,GHCND:USC00341750,37.9
",,7,",WDMV,2017-05-07T00:00:00,GHCND:USC00341750,39.8
",,7,",WDMV,2017-05-08T00:00:00,GHCND:USC00341750,82.0
",,7,",WDMV,2017-05-09T00:00:00,GHCND:USC00341750,100.0
",,7,",WDMV,2017-05-10T00:00:00,GHCND:USC00341750,115.0
",,7,",WDMV,2017-05-11T00:00:00,GHCND:USC00341750,128.0
",,7,",WDMV,2017-05-12T00:00:00,GHCND:USC00341750,88.2
",,7,",WDMV,2017-05-13T00:00:00,GHCND:USC00341750,101.9
",,7,",WDMV,2017-05-14T00:00:00,GHCND:USC00341750,52.2
",,7,",WDMV,2017-05-15T00:00:00,GHCND:USC00341750,121.2
",,7,",WDMV,2017-05-16T00:00:00,GHCND:USC00341750,134.8
",,7,",WDMV,2017-05-17T00:00:00,GHCND:USC00341750,221.2
",,7,",WDMV,2017-05-18T00:00:00,GHCND:USC00341750,144.2
",,7,",WDMV,2017-05-19T00:00:00,GHCND:USC00341750,160.9
",,7,",WDMV,2017-05-20T00:00:00,GHCND:USC00341750,101.3
",,7,",WDMV,2017-05-21T00:00:00,GHCND:USC00341750,55.9
",,7,",WDMV,2017-05-22T00:00:00,GHCND:USC00341750,37.3
",,7,",WDMV,2017-05-23T00:00:00,GHCND:USC00341750,47.8
",,7,",WDMV,2017-05-24T00:00:00,GHCND:USC00341750,82.0
",,7,",WDMV,2017-05-25T00:00:00,GHCND:USC00341750,65.2
",,7,",WDMV,2017-05-26T00:00:00,GHCND:USC00341750,193.9
",,7,",WDMV,2017-05-27T00:00:00,GHCND:USC00341750,54.1
",,7,",WDMV,2017-05-28T00:00:00,GHCND:USC00341750,152.2
",,7,",WDMV,2017-05-29T00:00:00,GHCND:USC00341750,65.2
",,7,",WDMV,2017-05-30T00:00:00,GHCND:USC00341750,36.0
",,7,",WDMV,2017-05-31T00:00:00,GHCND:USC00341750,59.0
",,7,",WDMV,2017-06-02T00:00:00,GHCND:USC00341750,57.8
",,7,",WDMV,2017-06-03T00:00:00,GHCND:USC00341750,39.1
",,7,",WDMV,2017-06-04T00:00:00,GHCND:USC00341750,41.0
",,7,",WDMV,2017-06-05T00:00:00,GHCND:USC00341750,39.1
",,7,",WDMV,2017-06-06T00:00:00,GHCND:USC00341750,70.8
",,7,",WDMV,2017-06-07T00:00:00,GHCND:USC00341750,77.1
",,7,",WDMV,2017-06-08T00:00:00,GHCND:USC00341750,41.0
",,7,",WDMV,2017-06-09T00:00:00,GHCND:USC00341750,54.1
",,7,",WDMV,2017-06-10T00:00:00,GHCND:USC00341750,142.9
",,7,",WDMV,2017-06-11T00:00:00,GHCND:USC00341750,195.7
",,7,",WDMV,2017-06-12T00:00:00,GHCND:USC00341750,185.8
",,7,",WDMV,2017-06-13T00:00:00,GHCND:USC00341750,187.0
",,7,",WDMV,2017-06-14T00:00:00,GHCND:USC00341750,205.1
",,7,",WDMV,2017-06-15T00:00:00,GHCND:USC00341750,152.2
